Name,Rating,Reviews,Company Type,Location,Highly Rated For,Critically Rated For
Wapcos,3.4,557,Engineering & Construction,New Delhi +123 other locations,None,"Promotions / Appraisal, Salary & Benefits, Job Security"
Epicenter Technologies,3.6,555,BPO,Mumbai +7 other locations,None,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Titan Eye Plus,4.3,555,Other,Kolkata +112 other locations,"Skill Development / Learning, Company Culture, Work Satisfaction",None
Molex,3.9,554,Semiconductors,Bangalore / Bengaluru +16 other locations,None,Promotions / Appraisal
The Lalit,3.6,554,Hospitality,New Delhi +29 other locations,None,"Promotions / Appraisal, Salary & Benefits, Company Culture"
SLMG Beverages,4.0,552,Beverage,Lucknow +57 other locations,Skill Development / Learning,Promotions / Appraisal
Testbook.com,3.6,552,EdTech,Mumbai +23 other locations,None,"Job Security, Promotions / Appraisal, Work Satisfaction"
Leverage Edu,4.2,551,EdTech,Noida +15 other locations,"Salary & Benefits, Company Culture, Skill Development / Learning",None
Medreich,3.8,550,Pharma,Bangalore / Bengaluru +12 other locations,Job Security,None
Fidelity International,4.0,550,Financial Services,Gurgaon / Gurugram +13 other locations,"Work Life Balance, Company Culture, Salary & Benefits",Promotions / Appraisal
Crowne Plaza,4.1,550,Hospitality,New Delhi +32 other locations,"Skill Development / Learning, Company Culture, Work Satisfaction",None
Amrit Cement,4.2,550,Building Material,Guwahati +37 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",None
JSW Paints,3.9,551,Chemicals,Mumbai +115 other locations,None,Promotions / Appraisal
Unity Small Finance Bank,3.9,549,Banking,Mumbai +91 other locations,"Work Life Balance, Company Culture, Skill Development / Learning",None
Alorica,3.1,549,BPO,Bangalore / Bengaluru +12 other locations,None,"Promotions / Appraisal, Job Security, Work Satisfaction"
Sterlite Power,4.0,550,Power,New Delhi +66 other locations,"Salary & Benefits, Skill Development / Learning, Work Life Balance",None
Smollan Group,4.2,550,Marketing & Advertising,Mumbai +115 other locations,"Work Life Balance, Skill Development / Learning, Company Culture",Promotions / Appraisal
Poly Medicure,3.7,548,Medical Equipment,Faridabad +29 other locations,None,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Micro Turners,3.8,550,Auto Components,Baddi +35 other locations,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits, Company Culture"
