Name,Rating,Reviews,Company Type,Location,Highly Rated For,Critically Rated For
Unify Technologies,3.1,140,IT Services & Consulting,Hyderabad / Secunderabad +9 other locations,None,"Job Security, Company Culture, Skill Development / Learning"
Connect Broadband,4.4,140,Telecom,Chandigarh +17 other locations,"Company Culture, Work Life Balance, Work Satisfaction",None
BigStep Technologies,4.5,140,IT Services & Consulting,Gurgaon / Gurugram +1 other locations,"Company Culture, Work Life Balance, Job Security",None
i-Source Infosystems,4.0,140,IT Services & Consulting,Pune +14 other locations,"Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits"
Vistra Corporate Services,3.6,141,Power,Mumbai +9 other locations,None,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
JSW Bhushan Power & Steel,4.1,141,Jharsuguda +11 other locations,Unknown,Skill Development / Learning,Promotions / Appraisal
Ajax Engineering,3.8,140,Engineering & Construction,Bangalore / Bengaluru +21 other locations,None,"Promotions / Appraisal, Skill Development / Learning, Company Culture"
First Abu Dhabi Bank,3.5,140,Banking,Bangalore / Bengaluru +8 other locations,None,"Promotions / Appraisal, Job Security, Company Culture"
Paranjape Schemes Construction,4.0,140,Real Estate,Pune +7 other locations,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Gates,3.9,140,Industrial Automation,Faridabad +12 other locations,"Work Life Balance, Company Culture",Promotions / Appraisal
Translumina Therapeutics,3.7,140,Healthcare,New Delhi +9 other locations,None,"Skill Development / Learning, Company Culture, Promotions / Appraisal"
Harbinger Systems,3.7,140,Software Product,Pune +2 other locations,None,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
Goel Ganga Group,3.5,140,Real Estate,Pune +3 other locations,None,"Work Satisfaction, Promotions / Appraisal, Company Culture"
Smart Drive Systems,3.3,140,IT Services & Consulting,Hyderabad / Secunderabad +2 other locations,None,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits"
Doordarshan,4.3,139,Broadcasting,New Delhi +33 other locations,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
Monginis Foods,3.4,139,Food Processing,Mumbai +23 other locations,None,"Promotions / Appraisal, Work Satisfaction, Job Security"
Border Roads Organisation,4.3,139,Engineering & Construction,New Delhi +24 other locations,"Job Security, Salary & Benefits, Company Culture",Promotions / Appraisal
UAE Exchange,4.2,139,FinTech,Kochi +36 other locations,"Work Life Balance, Skill Development / Learning, Company Culture",None
Shri Mahavir Ferro Alloys,3.6,139,Iron & Steel,Rourkela +8 other locations,None,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Jagran New Media,4.3,139,Internet,Noida +8 other locations,"Job Security, Company Culture, Skill Development / Learning",None
Fangs Technology,4.1,139,Consumer Electronics & Appliances,Chennai +20 other locations,"Skill Development / Learning, Company Culture, Work Satisfaction","Promotions / Appraisal, Salary & Benefits"
RattanIndia Power,3.4,139,Power,Amravati +7 other locations,None,"Promotions / Appraisal, Salary & Benefits, Company Culture"
India Power Corporation,3.8,139,Power,Kolkata +6 other locations,"Work Life Balance, Job Security",Promotions / Appraisal
Americana Group,3.4,139,Food Processing,New Delhi +17 other locations,None,"Promotions / Appraisal, Work Satisfaction, Company Culture"
Lal Baba Seamless Tubes,3.2,139,Industrial Machinery,Haldia +4 other locations,None,"Promotions / Appraisal, Company Culture, Work Life Balance"
India Pesticides,4.0,139,Agro Chemicals,Lucknow +19 other locations,"Job Security, Work Satisfaction, Skill Development / Learning",Promotions / Appraisal
Saudi Oger,4.5,139,Engineering & Construction,Riyadh +12 other locations,"Company Culture, Job Security, Work Satisfaction",None
Drake & Scull International PJSC,4.0,139,Engineering & Construction,Mumbai +14 other locations,None,None
Dr. Ram Manohar Lohia Hospital,4.3,139,Healthcare,New Delhi +8 other locations,"Skill Development / Learning, Work Satisfaction, Work Life Balance",None
Henkel,4.1,139,Chemicals,Chennai +25 other locations,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
TC Global,3.7,139,EdTech,New Delhi +16 other locations,None,"Promotions / Appraisal, Job Security, Work Satisfaction"
TP Southern Odisha Distribution,3.6,139,Berhampur +18 other locations,Unknown,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Wonderchef Home Appliances,3.7,139,Consumer Electronics & Appliances,Mumbai +24 other locations,None,"Promotions / Appraisal, Skill Development / Learning, Job Security"
Colruyt Group,4.0,139,IT Services & Consulting,Hyderabad / Secunderabad +1 other locations,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
ETV Network,3.4,139,Broadcasting,Hyderabad / Secunderabad +12 other locations,None,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Nahars Engineering India,3.3,139,Auto Components,Bangalore / Bengaluru +6 other locations,None,"Company Culture, Work Life Balance, Work Satisfaction"
Suven Life Sciences,3.9,139,Pharma,Hyderabad / Secunderabad +6 other locations,"Skill Development / Learning, Promotions / Appraisal, Job Security",None
L&T Geostructure,4.0,139,Chennai +22 other locations,Unknown,"Job Security, Salary & Benefits, Skill Development / Learning",Promotions / Appraisal
DCW,3.6,139,Chemicals,Thoothukudi +11 other locations,None,"Promotions / Appraisal, Company Culture, Salary & Benefits"
Mitsubishi Power India,4.2,139,Industrial Machinery,Bangalore / Bengaluru +11 other locations,"Work Life Balance, Salary & Benefits, Job Security",None
Techolution,3.1,139,IT Services & Consulting,Hyderabad / Secunderabad +3 other locations,None,"Job Security, Company Culture, Promotions / Appraisal"
Mansukh Securities & Finance,3.1,139,Financial Services,Ahmedabad +10 other locations,None,"Salary & Benefits, Promotions / Appraisal, Company Culture"
IFB Agro Industries,4.2,139,Beverage,Kolkata +23 other locations,"Job Security, Work Life Balance",Promotions / Appraisal
MEDICO Healthcare Services & Technologies,3.7,139,Healthcare,Hyderabad / Secunderabad +5 other locations,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Vrinsoft Technology,4.7,139,IT Services & Consulting,Ahmedabad +1 other locations,"Company Culture, Skill Development / Learning, Job Security",None
Amrita Vishwa Vidyapeetham,3.8,139,Education & Training,Coimbatore +9 other locations,None,"Promotions / Appraisal, Salary & Benefits"
Lulu Hypermarket,3.8,139,Retail,Lucknow +22 other locations,Job Security,None
Vandana Global,3.2,139,Iron & Steel,Raipur +4 other locations,None,"Promotions / Appraisal, Job Security, Company Culture"
L&T Power Transmission & Distribution,4.3,139,Power,Chennai +30 other locations,"Skill Development / Learning, Job Security, Company Culture",None
Jspiders,3.6,139,Education & Training,Bangalore / Bengaluru +11 other locations,None,"Promotions / Appraisal, Salary & Benefits, Job Security"
SI-UK,3.7,140,EdTech,New Delhi +14 other locations,None,"Promotions / Appraisal, Job Security, Work Satisfaction"
Punjab & Sind Bank,3.5,139,Banking,New Delhi +42 other locations,Job Security,"Company Culture, Work Satisfaction, Work Life Balance"
FAIRWAY ENTERPRISES,3.7,139,Leather,Krishnagiri +10 other locations,Salary & Benefits,"Work Satisfaction, Company Culture"
NTF Group,4.0,140,Gurgaon / Gurugram +13 other locations,Unknown,"Salary & Benefits, Job Security",None
Sunil Hitech Engineers,4.1,138,Engineering & Construction,Nagpur +28 other locations,None,"Job Security, Company Culture, Work Life Balance"
Trell,3.2,138,Internet,Bangalore / Bengaluru +14 other locations,None,"Job Security, Promotions / Appraisal, Work Satisfaction"
Sarda Energy & Minerals,4.3,138,Iron & Steel,Raipur +5 other locations,"Job Security, Work Life Balance, Company Culture",None
Dmi Housing Finance,4.2,138,Financial Services,New Delhi +35 other locations,"Salary & Benefits, Company Culture, Work Life Balance",None
Mafatlal Industries,4.1,138,Mumbai +16 other locations,Unknown,"Work Life Balance, Company Culture, Work Satisfaction",None
Overseas Health Care,2.8,138,Pharma,Ludhiana +38 other locations,None,"Job Security, Promotions / Appraisal, Company Culture"
Interglobe Air Transport,3.6,138,Aviation,New Delhi +26 other locations,None,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction"
Astegic,3.9,138,IT Services & Consulting,Jaipur +2 other locations,Work Life Balance,None
Pramati Technologies,4.3,138,IT Services & Consulting,Hyderabad / Secunderabad +3 other locations,"Job Security, Work Life Balance, Company Culture",None
Arkade Group,4.5,138,Real Estate,Mumbai +6 other locations,"Company Culture, Job Security, Work Satisfaction",None
UPS Supply Chain Solutions,4.0,138,Logistics,Pune +14 other locations,"Salary & Benefits, Work Life Balance, Job Security",Promotions / Appraisal
The Millennium School,3.9,138,Education & Training,Noida +25 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",None
DIN Engineering Services,4.1,139,Analytics & KPO,Noida +3 other locations,"Work Life Balance, Company Culture, Job Security",None
Replicon,3.8,138,Software Product,Bangalore / Bengaluru +4 other locations,Work Life Balance,"Promotions / Appraisal, Work Satisfaction"
SMFG India Home Finance Co,3.7,138,Mumbai +62 other locations,Unknown,Salary & Benefits,"Promotions / Appraisal, Company Culture, Work Life Balance"
Jivo Wellness,3.6,138,FMCG,New Delhi +20 other locations,None,"Promotions / Appraisal, Salary & Benefits, Work Life Balance"
Kolors Healthcare,3.6,138,Healthcare,Hyderabad / Secunderabad +21 other locations,None,"Promotions / Appraisal, Work Satisfaction, Work Life Balance"
ToXSL Technologies,3.8,138,IT Services & Consulting,Mohali +22 other locations,"Work Satisfaction, Skill Development / Learning, Salary & Benefits",None
Simform,3.4,138,IT Services & Consulting,Ahmedabad +1 other locations,None,"Promotions / Appraisal, Job Security, Work Satisfaction"
Data Marshall,3.3,138,Analytics & KPO,Hyderabad / Secunderabad +1 other locations,None,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Texas Review,3.5,137,Education & Training,Hyderabad / Secunderabad +10 other locations,None,"Promotions / Appraisal, Salary & Benefits, Job Security"
Tripjack,4.6,138,Travel & Tourism,Mumbai +8 other locations,"Job Security, Work Life Balance, Company Culture",None
Motion Education,3.6,138,Education & Training,Kota +35 other locations,None,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Tech Mahindra Foundation,4.1,138,Non-Profit,New Delhi +20 other locations,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
DNEG CREATIVE SERVICES,3.6,140,Animation & VFX,Mumbai +12 other locations,None,"Promotions / Appraisal, Job Security, Salary & Benefits"
Grb Dairy Foods,3.9,138,Food Processing,Hosur +22 other locations,None,"Promotions / Appraisal, Skill Development / Learning"
HAL Offshore,4.2,138,Oil & Gas,Mumbai +22 other locations,"Job Security, Work Satisfaction, Work Life Balance",None
Voylla,3.9,137,Jewellery,Jaipur +37 other locations,Skill Development / Learning,"Job Security, Work Satisfaction, Promotions / Appraisal"
Da Milano Leathers,2.9,137,Leather,New Delhi +24 other locations,None,"Job Security, Work Satisfaction, Company Culture"
Ameyo,3.4,137,Software Product,Gurgaon / Gurugram +6 other locations,None,"Job Security, Work Satisfaction, Work Life Balance"
Inteva Products,3.9,139,Auto Components,Bangalore / Bengaluru +3 other locations,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
Clean Science And Technology,3.7,137,Chemicals,Pune +4 other locations,Job Security,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction"
IFAS Edutech Private Limited,3.7,137,EdTech,Pune +5 other locations,None,Promotions / Appraisal
COMSTAR AUTOMOTIVE TECHNOLOGIES,3.6,137,Auto Components,Chennai +5 other locations,Job Security,Work Life Balance
"Apollo Gleneagles Hospitals, Kolkata",4.3,137,Healthcare,Kolkata +1 other locations,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
SeQuent Scientific,3.8,138,Pharma,Mumbai +13 other locations,"Work Life Balance, Skill Development / Learning",Promotions / Appraisal
Toto India Industries,4.3,137,Building Material,Vadodara +12 other locations,"Job Security, Company Culture, Work Life Balance",None
Ludhiana Beverages,3.9,137,Beverage,Ludhiana +7 other locations,"Job Security, Skill Development / Learning",Promotions / Appraisal
Jamboree Education,3.8,137,EdTech,New Delhi +17 other locations,None,"Promotions / Appraisal, Work Life Balance"
Tata Realty and Infrastructure,3.9,137,Real Estate,Mumbai +24 other locations,"Work Life Balance, Salary & Benefits","Promotions / Appraisal, Skill Development / Learning"
Jotun Paints,3.9,137,Petrochemicals,Pune +22 other locations,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
Ambrane India,4.4,137,Consumer Electronics & Appliances,New Delhi +8 other locations,"Work Life Balance, Skill Development / Learning, Work Satisfaction",None
Kumaran Systems,3.8,137,IT Services & Consulting,Chennai +5 other locations,None,"Promotions / Appraisal, Job Security, Work Life Balance"
Beckman Coulter,3.8,137,Medical Equipment,Bangalore / Bengaluru +13 other locations,None,"Promotions / Appraisal, Work Satisfaction"
SAP-Concur,3.9,137,Software Product,Bangalore / Bengaluru +5 other locations,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Skill Development / Learning"
Zeelab Pharmacy,3.8,138,Pharma,New Delhi +16 other locations,None,None
Data Patterns,3.8,137,Defence & Aerospace,Chennai +10 other locations,"Job Security, Skill Development / Learning","Company Culture, Work Life Balance"
iVistec Partners India Private Limited,3.9,137,IT Services & Consulting,Noida +4 other locations,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
Sagarsoft,4.4,137,IT Services & Consulting,Hyderabad / Secunderabad +2 other locations,"Work Life Balance, Company Culture, Work Satisfaction",None
CGM ARIA Health Services,4.2,137,Noida +2 other locations,Unknown,"Skill Development / Learning, Work Satisfaction, Company Culture",None
WinWire,3.6,137,IT Services & Consulting,Hyderabad / Secunderabad +2 other locations,None,"Job Security, Promotions / Appraisal, Work Satisfaction"
Zifo RnD Solutions,4.2,137,IT Services & Consulting,Chennai,"Job Security, Company Culture, Skill Development / Learning",None
Back Office,4.1,138,BPO,Mumbai +40 other locations,"Skill Development / Learning, Company Culture, Work Satisfaction",None
LS Automotive India,3.4,137,Automobile,Chennai +5 other locations,None,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Clarion Technologies,3.6,137,IT Services & Consulting,Pune +5 other locations,None,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
ValueFirst Digital Media,3.9,137,Software Product,Gurgaon / Gurugram +8 other locations,"Company Culture, Work Life Balance","Promotions / Appraisal, Skill Development / Learning, Salary & Benefits"
ICA Pidilite,4.3,137,Furniture & Furnishing,Mumbai +32 other locations,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Manikaran Power,2.7,137,Power,New Delhi +9 other locations,None,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
Volante Technologies,3.4,137,FinTech,Chennai +5 other locations,None,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
Infiiloom,3.4,137,Fashion & Textile,Pune +13 other locations,None,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Mohani Tea Leaves,3.8,137,FMCG,Kanpur +17 other locations,None,"Promotions / Appraisal, Salary & Benefits"
Gulf Oil Corporation,4.2,137,Oil & Gas,Hyderabad / Secunderabad +22 other locations,"Work Life Balance, Company Culture",None
VISION,4.1,137,Management Consulting,New Delhi +64 other locations,"Skill Development / Learning, Work Life Balance","Promotions / Appraisal, Job Security"
Macmet Engineering,3.9,137,Industrial Machinery,Kolkata +14 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits"
Psychotropics India,3.9,137,Pharma,Haridwar +10 other locations,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
Relevantz Technology Services,4.0,137,IT Services & Consulting,Chennai +5 other locations,"Work Life Balance, Company Culture, Skill Development / Learning",None
Fukoku,3.8,137,Automobile,Pune +2 other locations,None,"Promotions / Appraisal, Salary & Benefits, Job Security"
Automotive Stampings and Assemblies,3.7,137,Auto Components,Pune +9 other locations,Skill Development / Learning,None
Innovassynth Technologies,3.5,137,Chemicals,Khopoli +7 other locations,None,"Job Security, Promotions / Appraisal, Company Culture"
Vihang Group,4.5,137,Real Estate,Thane +2 other locations,"Salary & Benefits, Company Culture, Work Satisfaction",None
ZKTeco Biometrics,3.2,137,Law Enforcement & Security,Bangalore / Bengaluru +11 other locations,None,"Company Culture, Promotions / Appraisal, Work Satisfaction"
Venus Home Appliances,4.2,138,Consumer Electronics & Appliances,Chennai +25 other locations,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
EagleView,3.2,137,IT Services & Consulting,Bangalore / Bengaluru +3 other locations,None,"Promotions / Appraisal, Job Security, Skill Development / Learning"
Hippo Stores,3.5,137,Retail,New Delhi +10 other locations,None,"Job Security, Work Satisfaction, Promotions / Appraisal"
Vertafore,4.1,137,IT Services & Consulting,Hyderabad / Secunderabad +3 other locations,"Job Security, Work Life Balance, Company Culture",None
Garden Reach Shipbuilders & Engineers,4.1,137,Ports & Shipping,Kolkata +4 other locations,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
Jehangir Hospital,4.0,137,Healthcare,Pune +3 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits"
Awfis,3.8,137,Real Estate,New Delhi +15 other locations,Work Life Balance,Promotions / Appraisal
Teletext Holidays,3.9,136,Travel & Tourism,Hyderabad / Secunderabad +3 other locations,"Skill Development / Learning, Work Life Balance","Job Security, Promotions / Appraisal, Salary & Benefits"
Fortune Integrated Assets Finance,4.2,136,Financial Services,Mumbai +71 other locations,"Work Life Balance, Work Satisfaction, Company Culture",Promotions / Appraisal
Oswal Castings,3.9,137,Metals & Mining,Faridabad +7 other locations,None,Promotions / Appraisal
Techavera Solutions,4.6,136,Education & Training,Noida +3 other locations,"Work Life Balance, Salary & Benefits, Work Satisfaction",None
Bill Forge,4.0,136,Auto Components,Bangalore / Bengaluru +6 other locations,Skill Development / Learning,Promotions / Appraisal
Eptisa,3.4,136,Engineering & Construction,Kolkata +27 other locations,None,"Promotions / Appraisal, Salary & Benefits, Job Security"
Demech Chemical Products,4.7,136,Chemicals,Pune +24 other locations,"Company Culture, Job Security, Work Life Balance",None
Hiranandani group,4.3,137,Real Estate,Mumbai +18 other locations,"Work Life Balance, Job Security, Company Culture",None
Inspiredge IT Solutions,4.3,136,IT Services & Consulting,Visakhapatnam +4 other locations,"Work Life Balance, Job Security, Skill Development / Learning",None
East India Technologies,2.9,136,Electronics Manufacturing,Noida +6 other locations,None,"Promotions / Appraisal, Job Security, Company Culture"
CLIRNet,3.9,136,Internet,Kolkata +1 other locations,"Skill Development / Learning, Salary & Benefits",None
ITC Group,3.9,136,Bangalore / Bengaluru +36 other locations,Unknown,Job Security,"Promotions / Appraisal, Work Satisfaction, Work Life Balance"
Sadhu Forging,3.6,136,Industrial Machinery,Faridabad +7 other locations,None,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Shimizu,4.1,136,Engineering & Construction,Bangalore / Bengaluru +14 other locations,"Company Culture, Salary & Benefits","Job Security, Promotions / Appraisal"
Iscon Balaji Foods,4.2,137,Food Processing,Ahmedabad +23 other locations,"Work Life Balance, Job Security, Salary & Benefits",None
Ind Innovations,3.6,136,IT Services & Consulting,New Delhi +27 other locations,None,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits"
Imerys,4.0,136,Metals & Mining,Hyderabad / Secunderabad +16 other locations,Work Life Balance,Promotions / Appraisal
PerkinElmer,4.2,136,Pharma,Mumbai +16 other locations,"Work Life Balance, Company Culture, Job Security",None
Thomson Press India,4.1,136,Printing & Publishing,Faridabad +10 other locations,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
YES SECURITIES,4.0,137,Investment Banking / Venture Capital / Private Equity,Mumbai +30 other locations,"Work Life Balance, Job Security, Skill Development / Learning",None
Kantar Operations,4.0,136,Analytics & KPO,Hyderabad / Secunderabad +17 other locations,"Company Culture, Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits"
Corpone Staffing Solutions,3.7,137,BPO,Hyderabad / Secunderabad +8 other locations,Skill Development / Learning,"Salary & Benefits, Promotions / Appraisal"
"MIDLAND CREDIT MANAGEMENT, INC.",3.9,136,Financial Services,Gurgaon / Gurugram +2 other locations,"Company Culture, Job Security",Promotions / Appraisal
TPI Composites,4.2,136,Industrial Machinery,Chennai +6 other locations,"Skill Development / Learning, Company Culture, Salary & Benefits",None
VBeyond Corporation,3.9,136,Recruitment,Lucknow +8 other locations,"Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
Virtuoso,3.8,136,Industrial Automation,Pune +3 other locations,"Skill Development / Learning, Company Culture, Job Security","Salary & Benefits, Promotions / Appraisal"
Hike Education Private Limited,3.0,136,EdTech,Gurgaon / Gurugram +6 other locations,None,"Job Security, Work Life Balance, Work Satisfaction"
Ginger Webs,2.6,136,IT Services & Consulting,Noida +6 other locations,None,"Job Security, Promotions / Appraisal, Company Culture"
SEForge,3.4,136,Engineering & Construction,Coimbatore +6 other locations,None,"Promotions / Appraisal, Salary & Benefits, Company Culture"
GKB RX Lens,4.3,136,Medical Equipment,Gurgaon / Gurugram +20 other locations,"Company Culture, Work Satisfaction, Job Security",Promotions / Appraisal
Jesons Industries,3.7,136,Chemicals,Mumbai +12 other locations,None,"Company Culture, Promotions / Appraisal, Salary & Benefits"
Sula Vineyards,4.3,136,Food Processing,Nashik +14 other locations,"Company Culture, Work Life Balance, Skill Development / Learning",None
Tata Main Hospital,3.8,136,Healthcare,Jamshedpur +5 other locations,Job Security,"Promotions / Appraisal, Company Culture"
Frost & Sullivan,3.1,136,Management Consulting,Chennai +8 other locations,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
Byju's Future School,3.3,136,Bangalore / Bengaluru +22 other locations,Unknown,None,"Job Security, Promotions / Appraisal, Company Culture"
Canny Brains,4.6,136,EdTech,Kolkata +6 other locations,"Company Culture, Salary & Benefits, Work Satisfaction",None
Texila Educational And Management Services,4.4,136,Education & Training,Coimbatore +4 other locations,"Skill Development / Learning, Work Life Balance, Company Culture",None
TI METAL FORMING,4.1,136,Auto Components,Chennai +13 other locations,Skill Development / Learning,"Promotions / Appraisal, Company Culture"
EqualizeRCM Services,3.6,136,IT Services & Consulting,Mysuru / Mysore +6 other locations,None,"Salary & Benefits, Work Life Balance, Promotions / Appraisal"
Muthoot Mercantile,3.6,136,NBFC,Thiruvananthapuram +46 other locations,None,"Promotions / Appraisal, Job Security, Salary & Benefits"
Maya Academy of Advanced Cinematics,3.5,136,Animation & VFX,New Delhi +37 other locations,None,"Promotions / Appraisal, Job Security, Salary & Benefits"
Club Oxygen,4.2,135,Hospitality,Mumbai +26 other locations,"Company Culture, Work Satisfaction, Work Life Balance",None
Sellcraft Global Solutions,3.9,135,IT Services & Consulting,Pune +9 other locations,None,"Promotions / Appraisal, Job Security"
Saraswati Accountants Software,4.7,135,IT Services & Consulting,New Delhi +3 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",None
Fipola Retail,3.6,135,Food Processing,Chennai +6 other locations,None,"Salary & Benefits, Job Security, Company Culture"
Hubergroup,4.0,135,Chemicals,Vapi +11 other locations,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Enaltec Labs,3.6,135,Pharma,Mumbai +5 other locations,None,"Promotions / Appraisal, Salary & Benefits, Job Security"
ChicMic,4.5,135,Gaming,Mohali +2 other locations,"Skill Development / Learning, Company Culture, Work Satisfaction",None
Hitachi Automotive Systems,4.0,135,Auto Components,Chennai +11 other locations,"Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits"
Vectone Mobile,2.4,135,Telecom,Chennai +3 other locations,None,"Job Security, Work Life Balance, Company Culture"
Zodiac Clothing Company,3.6,135,Fashion & Textile,Mumbai +23 other locations,None,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
Narayana Medical College & Hospital,4.0,135,Healthcare,Nellore +9 other locations,"Skill Development / Learning, Job Security, Work Life Balance",None
Okinawa Autotech,3.5,135,Auto Components,Gurgaon / Gurugram +24 other locations,None,"Salary & Benefits, Promotions / Appraisal, Job Security"
Gangavaram Port,3.5,136,Ports & Shipping,Visakhapatnam +7 other locations,None,"Salary & Benefits, Promotions / Appraisal"
7Search PPC,4.8,135,Marketing & Advertising,Lucknow +6 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",None
Zcl Chemicals,3.7,135,Pharma,Ankleshwar +4 other locations,None,"Promotions / Appraisal, Company Culture, Salary & Benefits"
Unique Engineers,3.5,135,Industrial Machinery,Gurgaon / Gurugram +29 other locations,None,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Pramata Knowledge Solutions,3.0,135,IT Services & Consulting,Bangalore / Bengaluru +2 other locations,None,"Promotions / Appraisal, Job Security, Skill Development / Learning"
Dream Plast India,3.5,135,Industrial Machinery,Pune +4 other locations,None,"Promotions / Appraisal, Company Culture, Work Life Balance"
DAIMLER TRUCKS ASIA,3.9,136,Chennai +15 other locations,Unknown,"Job Security, Work Life Balance",Promotions / Appraisal
Micromatic Grinding Technologies,4.2,135,Industrial Machinery,Ghaziabad +8 other locations,"Work Life Balance, Company Culture, Skill Development / Learning",None
Coherent Market Insights,4.0,135,Management Consulting,Pune,"Company Culture, Skill Development / Learning, Work Life Balance",None
K R Mangalam University,3.6,135,Education & Training,Gurgaon / Gurugram +4 other locations,None,"Promotions / Appraisal, Company Culture, Salary & Benefits"
TPF Engineering,3.7,135,Engineering & Construction,Mumbai +28 other locations,None,"Salary & Benefits, Promotions / Appraisal, Job Security"
Innova Captab,4.2,136,Pharma,Baddi +11 other locations,"Job Security, Work Life Balance, Company Culture",None
Apothecon Pharmaceuticals,4.3,135,Pharma,Vadodara +4 other locations,"Job Security, Work Life Balance, Company Culture",None
Ramee Group of Hotels,3.6,135,Hospitality,Mumbai +14 other locations,None,"Job Security, Promotions / Appraisal, Company Culture"
Aranca,3.8,135,Analytics & KPO,Mumbai +4 other locations,Company Culture,"Promotions / Appraisal, Salary & Benefits"
MaxVal Group,3.7,135,IT Services & Consulting,Coimbatore +8 other locations,None,"Promotions / Appraisal, Work Life Balance"
Elin Electronics,3.9,135,Ghaziabad +7 other locations,Unknown,None,"Promotions / Appraisal, Salary & Benefits"
Safeducate,4.2,135,Education & Training,New Delhi +27 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
Grand View Research,3.0,135,Pune +2 other locations,Unknown,None,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
Armstrong International,3.9,135,Financial Services,Chennai +25 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
Fulcrum Digital,3.6,137,IT Services & Consulting,Pune +4 other locations,None,"Promotions / Appraisal, Job Security"
Agility E Services,3.7,135,IT Services & Consulting,Hyderabad / Secunderabad,"Work Life Balance, Company Culture",Promotions / Appraisal
IndiaLends,3.7,135,Financial Services,Gurgaon / Gurugram +4 other locations,None,"Job Security, Work Satisfaction, Promotions / Appraisal"
Lenexis Foodworks,3.9,135,Hospitality,Mumbai +19 other locations,"Salary & Benefits, Job Security, Skill Development / Learning",None
Umang Dairies,3.7,135,FMCG,New Delhi +15 other locations,None,Promotions / Appraisal
IDP IELTS,3.6,135,Education & Training,Chennai +31 other locations,None,"Promotions / Appraisal, Work Satisfaction, Company Culture"
Hindustan Platinum,3.6,135,Metals & Mining,Mumbai +2 other locations,None,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
Consilio,3.8,135,Legal,Bangalore / Bengaluru +5 other locations,"Work Life Balance, Company Culture","Promotions / Appraisal, Skill Development / Learning, Job Security"
Deep Industries,3.4,135,Oil & Gas,Ahmedabad +16 other locations,None,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction"
SEDER GROUP,4.0,135,Engineering & Construction,Riyadh +12 other locations,"Work Satisfaction, Salary & Benefits, Work Life Balance",Promotions / Appraisal
B5 Plus,4.0,135,Iron & Steel,Tema +9 other locations,Skill Development / Learning,None
Corrival Corporate Services,4.3,135,Recruitment,Hyderabad / Secunderabad +37 other locations,"Company Culture, Salary & Benefits, Skill Development / Learning",None
